,Plant,Name 1,Valuation Area,Customer no. - plant,Vendor number plant,Factory calendar,Name 2,House number and street,PO Box,Postal Code,City,Sales organization,State
0,BC07,NERKUNDRAM,BC07,PLBC07,PLBC07,IN,,"No.117 Poonamallee High Road,",600107.0,600107,Chennai,MFCS,Tamil Nadu
1,BC30,SAS NAGAR - MOHALI,BC30,PLBC30,PLBC30,IN,,"C-118, Phase 07,",160055.0,160055,Mohali,MFCS,Punjab
2,X001,X001 - AUTO PLANET WHEELS,X001,PLX001,,IN,Thane,"Unit No.3, Kothari Compound,",400610.0,400610,Thane,MFCA,Maharashtra
3,X002,X002 - BHANDARI INDUSTRIES PVT,X002,PLX002,,IN,Ghaziabad,"18/1, C Site 4, Sahibabad",201010.0,201010,Ghaziabad,MFCA,Uttar Pradesh
4,X003,X003 - Om Sri Satya Sai Automo,X003,PLX003,,IN,Bengaluru,"#75, Sy.No. 83/2, Panathur Mai",560087.0,560087,Bengaluru,MFCB,Karnataka
5,X005,X005 - KLN MOTORS,X005,PLX005,,IN,Chennai,"No.8 (NP) Developed Plot,",600032.0,600032,Chennai,MFCB,Tamil Nadu
6,X006,X006 - A.M.MOTORS,X006,PLX006,,IN,Mumbai,"8, Mira, Behind Ajit Palace Ho",401104.0,401104,Thane,MFCB,Maharashtra
7,X007,X007 - OM SRI SATYA SAI AUTOMO,X007,PLX007,,IN,Bengaluru,"Seegehalli main road,",560037.0,560037,Bengaluru,MFCB,Karnataka
8,X008,X008- AAKASH AUTO (Puducherry),X008,PLX008,,IN,Puducherry,"145/2, Villiyanur main road,",605110.0,605110,Puducherry,MFCC,Puducherry
9,X010,X010 - LVM MOTORS,X010,PLX010,,IN,Chennai,"B- 49 Emerald Nagar, SIPCOT,",632406.0,632406,Ranipet,MFCD,Tamil Nadu
10,X011,X011- AAKASH AUTO (Villupuram),X011,PLX011,,IN,Chennai,"No 7, Trichy Trunk Road,",605401.0,605401,Villupuram,MFCD,Tamil Nadu
11,X012,X012 - SR CAR CARE,X012,PLX012,,IN,Tamil Nadu,"No 5, Bye Pass Road,",608001.0,608001,Chidambaram,MFCD,Tamil Nadu
12,X013,X013 - SAI AUTO WORKS,X013,PLX013,,IN,Tamil Nadu,"NH 45 C, Rainbow Nagar Near Mo",607308.0,607308,Neyveli,MFCD,Tamil Nadu
13,X014,X014 - NANGAN MOTORS PVT LTD.,X014,PLX014,,IN,Ambur,"0/1, M.C.Road,",635802.0,635802,Ambur,MFCD,Tamil Nadu
14,X016,X016 - KHUTWAD MOTORS,X016,PLX016,,IN,Boripardhi,"Khutwad Complex,",412203.0,412203,Boripardhi,MFCD,Maharashtra
15,X017,X017 - HEM KIRAN DIESELS,X017,PLX017,,IN,Kolhapur,"1227-E Rajaram Road,",416008.0,416008,Kolhapur,MFCD,Maharashtra
16,X018,X018 - EXPRESS WHEELS AUTO SER,X018,PLX018,,IN,Shirur,"Gut No. 1340,",412210.0,412210,Shirur,MFCD,Maharashtra
17,X020,X020 - SURYABALA SERVICE,X020,PLX020,,IN,Coimbatore,"Subbiah Naidu Thottam,",641039.0,641039,Coimbatore,MFCC,Tamil Nadu
18,X021,X021 - THE TRUE SAI MOTORSS,X021,PLX021,,IN,Salem,"1/9, Court Road,",636007.0,636007,Salem,MFCC,Tamil Nadu
19,X022,X022 - ARASU CAR ACCESSORIES,X022,PLX022,,IN,Thanjavur,"# 20, Sanjeeve Nagar,",613005.0,613005,Thanjavur,MFCD,Tamil Nadu
20,X023,X023 - ROYAL KRR AUTOS,X023,PLX023,,IN,Tirupur,"8(1A), KRR Layout, Karuvampala",641604.0,641604,Tirupur,MFCC,Tamil Nadu
21,X024,X024 - ARASU CAR ACC (TRICHY),X024,PLX024,,IN,Trichy,"1, JP Nagar,",620009.0,620009,Tiruchirappalli,MFCC,Tamil Nadu
22,X025,X025 - SHIVALIK AUTOMOBILES,X025,PLX025,,IN,Punjab,"NH-95,",142001.0,142001,Moga,MFCD,Punjab
23,X026,X026 - MAHADEVI SERVICE CENTER,X026,PLX026,,IN,PUNE,"151/1, Mahalunge,",410501.0,410501,Pune,MFCD,Maharashtra
24,X027,X027 - RAHUL AUTO SERV. PVT.,X027,PLX027,,IN,Pune,"Survey No. 167, adjacent to Pa",410506.0,410506,Pune,MFCD,Maharashtra
25,X028,X028 - SAIDEEP CAR CARE,X028,PLX028,,IN,Ahmednagar,"Survey No. 55/1/2B/1, B/H New",414001.0,414001,Ahmednagar,MFCD,Maharashtra
26,X029,X029 - SWAMI AUTO CARE PVT LTD,X029,PLX029,,IN,Zirakpur,"Singhpura,",140603.0,140603,Zirakpur,MFCD,Punjab
27,X031,X031 - ANUSHRI MOTORS,X031,PLX031,,IN,Pollachi,"279,",642003.0,642003,Pollachi,MFCD,Tamil Nadu
28,X032,X032 - SBBS MOTORS,X032,PLX032,,IN,Dharmapuri,"5/309A, Sagadevan Street,",636705.0,636705,Dharmapuri,MFCD,Tamil Nadu
29,X033,X033 - TRISTAR INDIA TRADING,X033,PLX033,,IN,Shimoga,"Plot No. 9/3 # 897/3,",577202.0,577202,Shimoga,MFCD,Karnataka
30,X034,X034 - SOHAMM MOTORS,X034,PLX034,,IN,Aurangabad,"Plot No. C-27,",431006.0,431006,Aurangabad,MFCD,Maharashtra
31,X035,X035 - DOCTOR CARS,X035,PLX035,,IN,Pune,"390/2B, Opposite Sandvik Asia",411012.0,411012,Pune,MFCC,Maharashtra
32,X036,X036 - X-PRESS MOTORS,X036,PLX036,,IN,Madurai,"D-25, SIDCO Industrial Estate,",625008.0,625008,Madurai,MFCC,Tamil Nadu
33,X037,X037 - DHEERAJ MOTORS,X037,PLX037,,IN,Kurnool,"D. No. 45-142-70-5-B, NH-7 Roa",518003.0,518003,Kurnool,MFCD,Andhra Pradesh
34,X039,X039 - SAI AUTOMOBILES,X039,PLX039,,IN,Chennai,"No: 4/905, GNT Road,",600052.0,600052,Chennai,MFCD,Tamil Nadu
35,X041,X041 - VARDAJYOTI AUTOMOBILES,X041,PLX041,,IN,Meerut,"Madhuban,",250002.0,250002,Meerut,MFCD,Uttar Pradesh
36,X042,X042 - CAR PLANET ENTERPRISES,X042,PLX042,,IN,Raipur,"Opp. Deendayal Upadhyay Nagar,",492001.0,492001,Raipur,MFCC,Chhattisgarh
37,X044,X044 - KANMANI CAR CARE,X044,PLX044,,IN,Dindigul,No. 250 Trichy By Pass Road,624005.0,624005,Dindigul,MFCD,Tamil Nadu
38,X045,X045 - BA MOTORS,X045,PLX045,,IN,Rohtak,"Near BA NISSAN PVT. LTD,",124001.0,124001,Rohtak,MFCD,Haryana
39,X046,X046 - SVERA AUTOMOBILES,X046,PLX046,,IN,Jhajjar,"Plot No - 1309,",124103.0,124103,Jhajjar,MFCD,Haryana
40,X047,X047 - X-PRESS MOTORS,X047,PLX047,,IN,Tirunelveli,Plotno:142 Trivandrum Bye Pass,627002.0,627002,Tirunelveli,MFCC,Tamil Nadu
41,X048,X048 - HARI KRISHNA AUTOMOBILE,X048,PLX048,,IN,Nagercoil,"NMC-1/344A , Jayajothi Buildin",629001.0,629001,Nagercoil,MFCD,Tamil Nadu
42,X049,X049 - SHENBAGAM MOTORS,X049,PLX049,,IN,Tuticorin,"1D/219, Meelavittan Main Road,",628002.0,628002,Tuticorin,MFCD,Tamil Nadu
43,X050,X050 - VISHWATMAK AUTOMOBILES,X050,PLX050,,IN,Vadali Bhoi,"Gutt No.514,Mumbai Agra Highwa",423117.0,423117,Vadali Bhoi,MFCD,Maharashtra
44,X051,X051 - RAJATHI AUTO CARE PRIVA,X051,PLX051,,IN,Coimbatore,"No.5, Thottipalayam Privu, Raj",641014.0,641014,Coimbatore,MFCC,Tamil Nadu
45,X052,X052 - XPRESS MOTORS,X052,PLX052,,IN,Madurai,"Shed  No.I-4, Industrial Estat",625102.0,625102,Madurai,MFCC,Tamil Nadu
46,X053,X053 - PREM AUTOMOBILES,X053,PLX053,,IN,Bhagpat,"Plot No. 525,",250609.0,250609,Bhagpat,MFCD,Uttar Pradesh
47,X054,X054 - HOREB AUTOMOBILES,X054,PLX054,,IN,Ongole,"7-38, NH-5, Opp. Auto Nagar,",532001.0,532001,Ongole,MFCD,Andhra Pradesh
48,X055,X055 - S K AUTOMOBILES,X055,PLX055,,IN,Rajahmundry,"84-1-2, Beside ONGC Base Compl",533106.0,533106,Rajahmundry,MFCD,Andhra Pradesh
49,X056,X056 - SRI RAJABABU AUTOMOTIVE,X056,PLX056,,IN,Vijayawada,"RS No:- 324/3A,",520008.0,520008,Vijayawada,MFCC,Andhra Pradesh
